id_venta,fecha,producto,marca,categoria,precio,cantidad,garantia_meses,stock_dias,calificacion,canal,devolucion,total,opinion_usuario
1.0,2022-01-01,Mouse,Samsung,computo,,4.0,11.0,19.0,3.0,web,si,12755.84,Buena asesoría antes de comprar
2.0,2022-01-02,Mouse,Xiaomi,moviles,539.2,4.0,1.0,37.0,1.0,tienda,si,2156.8,Buen precio y garantía
3.0,2022-01-04,Tablet,Logitech,redes,4495.83,2.0,-26.0,60.0,2.0,web,si,8991.66,Excelente atención técnica
,,SSD,Apple,,4800.2,2.0,-10.0,111.0,1.0,marketplace,,9600.4,Buen precio y garantía
5.0,2022-01-07,Impresora,Apple,moviles,360.02,4.0,,,5.0,tienda,si,,El producto presentó fallas
6.0,2022-01-09,Impresora,Xiaomi,almacenamiento,2552.11,3.0,35.0,109.0,2.0,web,si,7656.33,Producto funcionando perfectamente
,2022-01-11,Impresora,Asus,almacenamiento,1780.01,-3.0,,85.0,2.0,tienda,no,"5340,03",El pedido llegó incompleto
8.0,2022-01-12,SSD,Xiaomi,computo,2207.34,2.0,34.0,53.0,2.0,web,si,4414.68,Recibí un producto diferente
9.0,,Audifonos,Dell,moviles,1708.7,1.0,31.0,43.0,5.0,tienda,si,-1708.7,Producto funcionando perfectamente
10.0,2022-01-16,Impresora,Lenovo,almacenamiento,1999.67,2.0,16.0,34.0,3.0,web,si,3999.34,Excelente atención técnica
11.0,2022-01-18,Celular,Logitech,redes,,4.0,28.0,62.0,4.0,marketplace,no,7832.92,Entrega rápida y producto original
12.0,,SSD,Samsung,,3056.92,1.0,30.0,76.0,5.0,tienda,si,3056.92,Excelente atención técnica
13.0,2022-01-21,Impresora,Dell,redes,6206.63,1.0,27.0,74.0,4.0,tienda,no,6206.63,El pedido llegó incompleto
14.0,2022-01-23,Router,Samsung,computo,4907.91,3.0,8.0,12.0,5.0,web,si,, PRODUCTO FUNCIONANDO PERFECTAMENTE 
15.0,2022-01-24,Monitor,Lenovo,computo,1577.2,4.0,17.0,"103,00",2.0,marketplace,si,6308.8,Recibí un producto diferente
16.0,2022-01-26,Router,Dell,perifericos,2336.05,1.0,23.0,76.0,5.0,tienda,no,-2336.05,Excelente atención técnica
17.0,2022-01-28,Laptop,Xiaomi,computo,6411.9,1.0,15.0,91.0,2.0,marketplace,si,6411.9,entrega rápida y producto original
18.0,2022-01-29,Audifonos,Asus,perifericos,5854.25,2.0,6.0,30.0,1.0,web,no,11708.5,Buen precio y garantía
19.0,2022-01-31, TECLADO ,Asus,almacenamiento,1323.55,1.0,28.0,5.0,,tienda,si,1323.55,Mala atención postventa
20.0,2022-02-02,Teclado,,redes,2942.66,4.0,5.0,71.0,4.0,marketplace,si,11770.64,
21.0,2022-02-04,SSD,Dell,almacenamiento,3343.12,2.0,2.0,73.0,1.0,web,si,6686.24,Recibí un producto diferente
22.0,2022-02-05,Teclado,Asus,almacenamiento,4148.02,4.0,,48.0,4.0,marketplace,no,16592.08,Excelente atención técnica
23.0,2022-02-07,Router,Logitech,redes,3260.06,2.0,31.0,82.0,4.0,marketplace,si,6520.12,Recibí un producto diferente
24.0,2022-02-09,Mouse,Apple,moviles,911.33,3.0,25.0,54.0,5.0,marketplace,si,"2733,99",Buena asesoría antes de comprar
25.0,2022-02-10,Audifonos,Lenovo,perifericos,6196.67,1.0,20.0,22.0,2.0,,si,6196.67,Demoraron en atender la garantía
26.0,2022-02-12,Mouse,HP,almacenamiento,1899.54,3.0,22.0,30.0,5.0,tienda,,5698.62,Producto funcionando perfectamente
27.0,2022-02-14,Mouse,Samsung,almacenamiento,2204.6,1.0,,50.0,2.0,tienda,si,"2204,60",Demoraron en atender la garantía
28.0,2022-02-16,Router,Logitech,perifericos,3460.87,4.0,35.0,109.0,5.0,web,si,13843.48,
29.0,2022-02-17,,Samsung,perifericos,153.72,,22.0,32.0,2.0,,si,153.72,Demoraron en atender la garantía
30.0,2022-02-19,Celular,Samsung,redes,3249.79,,15.0,78.0,2.0,marketplace,no,3249.79,
31.0,2022-02-21,Mouse,Logitech,redes,3433.47,3.0,25.0,28.0,5.0,marketplace,no,10300.41,Producto funcionando perfectamente
,, CELULAR ,HP,redes,3197.25,2.0,2.0,26.0,5.0,marketplace,no,6394.5,Buen precio y garantía
33.0,2022-02-24,Impresora,Apple,almacenamiento,2478.69,1.0,,38.0,1.0,tienda,si,2478.69,Recibí un producto diferente
34.0,2022-02-26,Celular,Dell,moviles,5745.51,1.0,0.0,22.0,1.0,marketplace,si,-5745.51,Buena asesoría antes de comprar
35.0,2022-02-27,Impresora,Dell,computo,2812.65,3.0,26.0,"88,00",4.0,marketplace,no,8437.95,Demoraron en atender la garantía
36.0,2022-03-01,SSD,Dell,computo,2321.74,4.0,9.0,21.0,3.0,marketplace,si,9286.96,Buena asesoría antes de comprar
37.0,, CELULAR ,Dell,redes,5281.82,-2.0,2.0,112.0,1.0,tienda,no,10563.64,
38.0,2022-03-05,Celular,,computo,4826.1,3.0,8.0,37.0,3.0,tienda,no,14478.3,Excelente atención técnica
39.0,2022-03-06,Teclado,Samsung,perifericos,2130.89,4.0,"12,00",17.0,,,no,"8523,56",Buena asesoría antes de comprar
40.0,2022-03-08,SSD,Dell, MOVILES ,3533.76,2.0,8.0,54.0,4.0,marketplace, SI ,7067.52,El producto presentó fallas
41.0,2022-03-10,Router,Logitech,redes,2630.09,"4,00",36.0,86.0,4.0,marketplace,no,10520.36,El pedido llegó incompleto
42.0,2022-03-11,Audifonos,,perifericos,3650.92,"4,00",22.0,104.0,5.0,tienda,,14603.68,Buen precio y garantía
43.0,2022-03-13,Mouse,Dell,moviles,557.18,3.0,9.0,26.0,5.0,web,si,1671.54,Buena asesoría antes de comprar
44.0,2022-03-15,Tablet,Lenovo,almacenamiento,5418.66,1.0,25.0,112.0,1.0,web,si,5418.66,El producto presentó fallas
45.0,,, HP ,almacenamiento,,1.0,27.0,107.0,3.0,,no,2376.97,Excelente atención técnica
46.0,2022-03-18,Mouse,,redes,469.33,1.0,29.0,,4.0,tienda,si,469.33,El producto presentó fallas
47.0,2022-03-20,SSD,Samsung,redes,193.62,1.0,21.0,80.0,,marketplace,no,-193.62,Demoraron en atender la garantía
48.0,,Celular,Lenovo,moviles,4832.02,1.0,3.0,72.0,"5,00",web,si,4832.02,Excelente atención técnica
49.0,2022-03-23,Mouse,Xiaomi,moviles,3903.04,-1.0,6.0,,5.0,,no,,Producto funcionando perfectamente
50.0,2022-03-25,SSD,Apple,redes,4720.22,2.0,32.0,25.0,-2.0,marketplace,no,9440.44,Mala atención postventa
51.0,2022-03-27,Mouse,HP,computo,4674.68,1.0,36.0,35.0,5.0,web,si,4674.68,Mala atención postventa
